DotKhuon,NgayNhap,SX,Ghichu
 CM23.006,2023-03-23,CM,nhận 2 bộ khuôn mới và 1 bộ sửa
2018,,20,
2019,,20,
2020,2016-01-01,20,Khuôn Nhập Xếp giá Thắng sang-Từ lâu rồi.
AE22.001,201-11-09,AE,KHACH GUI 01 BO KHUON
AP20.001,2020-07-21,AP,1 bộ k - gửi.
AP20.002,2021-05-19,AP,2 bộ k - gửi.
AP21.002,2021-05-22,AP,1 bộ k - gửi.
AP21.003,2021-05-24,AP,1 bộ k - gửi.
AP21.004,2021-07-31,AP,1 bộ k - gửi.
AP21.005,2021-09-25,AP,2 bộ gửi theo HP21.018-25/9/21.
AP21.006,2021-12-20,AP,
AP22.001,2022-06-17,AP,
AP22.002,2022-09-30,AP,nhận 1 bộ khuôn
AP23.001,2023-03-27,AP,nhận 3 bộ khuôn
AP23.003,2023-06-13,AP,Nhận từ an phú gửi 3 bộ khuôn ( do daiko làm)
AS04,,AS,
AS18,2015-04-05,AS,
AS19,2000-10-13,AS,
AS45,2003-04-23,AS,
AS48,2003-07-14,AS,
AS51,,AS,
AU21.001,2021-07-15,AU,8 bộ - Khuôn gửi. Đã trả AuD 8 bộ -31/7/21.
AU21.002,2021-12-14,AU,7 bộ gửi.
BR00,,BR,Giang đưa kiểm tra 18/3/19
BR01,,BR,
BR02,,BR,
BR04,,BR,
BR05,2016-12-28,BR,
BR06,2017-01-11,BR,
BR08,2017-01-20,BR,12 bo khuon x1
BR09,,BR,
BR10,2017-02-11,BR,
BR100,2019-09-22,BR,
BR101,2019-10-07,BR,
BR102,2019-10-28,BR,BB:28/10/19
BR11,2017-02-18,BR,
BR12,2017-02-16,BR,
BR14,,BR,
BR15,,BR,
BR16,2017-03-23,BR,
BR17,2017-04-03,BR,
BR18,2017-04-10,BR,
BR19.011,2019-11-19,BR,Ký BB 9/12/19
BR19.012,2019-12-24,BR,23b+3 đệm ép
BR19.013,2020-01-08,BR,
BR20,2017-04-26,BR,
BR20.001,2020-02-18,BR,"Đã kê NT (NT Đợt 1-33 bộ k, 04 đệm-ko đạt 4 bộ)"
BR20.002,2020-03-22,BR,Đã kê NT(NT lần 2-14 bộ k-Ko đạt 2 bộ)
BR20.003,2020-03-26,BR,Đã kê NT(NT lần 3-Chưa đạt 1 bộ)
BR20.004,2020-03-27,BR,Đã kê NT(NT lần 3-Chưa đạt 1 bộ)
BR20.005,2020-04-09,BR,
BR20.006,2020-04-18,BR,13 BỘ +2 DAO
BR20.007,2020-04-22,BR,14 BỘ KHUÔN
BR20.008,2020-04-24,BR,13 bộ khuôn.
BR20.009,2020-04-27,BR,12 bộ khuôn
BR20.010,2020-05-09,BR,12 bộ + 1 bộ HP03-1-11 đền.
BR20.011,2020-05-14,BR,4 bộ. BH176/2019
BR20.012,2020-05-19,BR,7 bộ khuôn-BH1771/2019
BR20.013,2020-05-30,BR,Số: BH1825/2019-11 bộ khuôn (PL)
BR20.014,2020-06-04,BR,6 bộ. Số:BH1851/2019
BR20.015,2020-06-06,BR,No:BH1860/2019
BR20.016,2020-06-10,BR,BH1877/2019. 15 bộ khuôn PL
BR20.017,2020-06-20,BR,4 bộ
BR20.018,2020-06-26,BR,3 bộ khuôn. Phiếu: BH1965/2019
BR20.019,2020-07-08,BR,7 Bộ khuôn.Phiếu: BH2029/2019.
BR20.020,2020-07-18,BR,"3 bộ ..201A+2 bộ ..201B -13,14 sửa lại ke."
BR20.021,2020-08-05,BR,8 bộ; Hùng Km nhận-Ký với bảo vệ.
BR20.022,2020-08-12,BR,14 bộ. Hùng Km nhận.
BR20.023,2020-08-17,BR,15 bộ-14 bộ thuộc đơn BR010/20. Ô. Hùng Km nhận.
BR20.024,2020-08-21,BR,Sp:BH2229/2019-4 bộ.
BR20.025,2020-09-11,BR,"21 bộ-04 bộ khuôn sửa-bảo hành. (8801G-8,VIC55101-38,39,40)"
BR20.026,2020-09-17,BR,9 bộ - BH2324/2019
BR20.027,2020-09-22,BR,2 bộ khuôn.
BR20.028,2020-09-26,BR,6 bộ khuôn-2 đệm khuôn.
BR20.029,2020-09-30,BR,2 bộ.
BR20.030,2020-10-06,BR,6 bộ khuôn + O1 bộ dụng cụ sửa khuôn.
BR20.031,2020-10-07,BR,2 bộ SLAD-Không giấy tờ (về đêm-chụp ảnh sổ bảo vệ)
BR20.032,2020-10-11,BR,"Kê 11 bộ - Có 02 bộ đã về đợt 031 (SLAD01-15,17)"
BR20.033,2020-10-13,BR,11 BỘ.
BR20.034,2020-10-15,BR,9 bộ.
BR20.035,2020-10-16,BR,7 bộ khuôn +3 đệm chuyên dùng.
BR20.036,2020-10-22,BR,11 bộ khuôn + 01 bộ dụng cụ SK - Hùng còm nhận.
BR20.037,2020-10-23,BR,"10 bộ khuôn, trả sửa bảo hành: SLAD01-11, Đệm khuôn 1350-BOL-AD01."
BR20.038,2020-10-28,BR,3 bộ khuôn.
BR20.039,2020-10-30,BR,6 bộ khuôn+01 đệm NS031
BR20.040,2020-11-01,BR,2 Phiếu: BH2536/2019-6 bộ + 2538/2019-1 bộ.
BR20.041,2020-11-04,BR,"5 bộ khuôn, 01 bộ SLAD01-21- khuôn bảo hành."
BR20.042,2020-11-07,BR,2 Phiếu-8 bộ khuôn-Khuôn sửa NS016-1.
BR20.043,2020-11-13,BR,2 bộ khuôn và 01 đệm VIC125.
BR20.044,2020-11-14,BR,6 bộ.
BR20.045,2020-11-17,BR,"6 bộ khuôn - 2 phiếu, 01 đệm SLSN14."
BR20.046,2020-11-19,BR,2 bộ khuôn -02 đệm khuôn.
BR20.047,2020-11-21,BR,3 bộ
BR20.048,2020-11-25,BR,2 bộ.
BR20.049,2020-11-29,BR,2 bộ SL01.
BR20.050,2020-12-01,BR,7 bộ khuôn.
BR20.051,2020-12-15,BR,"13 bộ khuôn, 01 đệm 1350, 01 bộ dụng cụ sửa khuôn- Việt km nhận."
BR20.052,2020-12-17,BR,16 bộ.
BR20.053,2020-12-19,BR,
BR20.054,2020-12-24,BR,2 bộ.
BR20.055,2020-12-28,BR,1 bộ
BR21,2017-05-17,BR,
BR21.001,2021-01-05,BR,2 bộ khuôn - 01 đệm khuôn chuyên dùng-Đệm 1350 (đền) - AE017 sửa đực.
BR21.002,2021-01-15,BR,5 bộ.
BR21.003,2021-01-19,BR,3 BỘ
BR21.004,2021-01-21,BR,12 bộ khuôn. BH0081/2021
BR21.005,2021-01-23,BR,2 bộ khuôn.
BR21.006,2021-01-29,BR,9 bộ khuôn.
BR21.007,2021-02-19,BR,6 bộ khuôn + 01 đệm CD SN8810A.
BR21.008,2021-02-24,BR,"11 bộ khuôn, 1 áo khuôn 638, 4 đệm CD."
BR21.009,2021-03-02,BR,15 bộ + trả bảo hành VIC03NT-4 + 3 đệm EKF1350.
BR21.010,2021-03-05,BR,1 bộ khuôn; 02 thùng ép 1250-1 cái đã thay lõi. Thắng Ruồi cầm phiếu giao.
BR21.011,2021-03-11,BR,"17 bộ khuôn, 01 đệm CD. Bảo hành 100%."
BR21.012,2021-03-15,BR,Boả hành 100%.-9 bộ khuôn.
BR21.013,2021-03-17,BR,10 Bộ khuôn + 01 đệm CD + CGA05-1(BG-đền) + EKFTD02-Sửa.
BR21.014,2021-03-18,BR,2 bộ khuôn + 01 đệm CD.
BR21.015,2021-03-20,BR,2 bộ khuôn - 02 đệm chuyên dùng - 01 đệm Cần ép 802.
BR21.016,2021-04-01,BR,6 bộ khuôn+2 đệm CD. BOLVIC55301B & BOLVIC125.
BR21.017,2021-04-02,BR,9 bộ khuôn.
BR21.018,2021-04-09,BR,10bộ khuôn + 01 đệm CD + 01 BG SN8851M-1 bảo hành
BR21.019,2021-04-10,BR,8 bộ khuôn + 1 đệm CD.
BR21.020,2021-04-10,BR,3 bộ khuôn + 01 Phiếu giao HN19-1-đợt BR21.019
BR21.021,2021-04-12,BR,2 bộ khuôn.
BR21.022,2021-04-15,BR,2 bộ khuôn.
BR21.023,2021-04-19,BR,11 bộ khuôn + 01 đệm CD.
BR21.024,2021-04-22,BR,22 bộ khuôn.
BR21.025,2021-04-23,BR,2 bộ khuôn + 02 khuôn CGA02E-CGA03E sửa.
BR21.026,2021-04-24,BR,2 phiếu giao: 12 bộ khuôn-thùng ép 801-D156.8 mm
BR21.027,2021-04-28,BR,6 bộ khuôn + DI001-1(bảo hành BG)
BR21.028,2021-05-07,BR,"Về 02 bộ khuôn mới + 02 Khuôn 55101B-4,5 sửa (do mỏng quá)."
BR21.029,2021-05-08,BR,"3 bộ khuôn mới + (VIC55201A-55,SN8852-7,VIC01NT-4) - Bảo hành."
BR21.030,2021-05-10,BR,7 bộ khuôn + 01 đệm VICPG051.
BR21.031,2021-05-15,BR,14 bộ.
BR21.032,2021-05-18,BR,1 bộ.
BR21.033,2021-05-20,BR,"11 bộ khuôn +Nòng Máy -2 cái + 2 khuôn sửa 55101B-(4,5)"
BR21.034,2021-05-22,BR,4 bộ khuôn. 01 khuôn BH 3050-2.(Die)
BR21.035,2021-05-26,BR,7 bộ khuôn + CGA16E-1 bảo hành.
BR21.036,2021-05-29,BR,11 bộ-trả BH 1 bộ SN8852A-8
BR21.037,2021-05-31,BR,Nhận 6 bộ khuôn.
BR21.038,2021-06-05,BR,3 bộ.
BR21.039,2021-06-07,BR, Về 3 bộ khuôn.
BR21.040,2021-06-09,BR,21 bộ khuôn.
BR21.041,2021-06-17,BR,5 bộ khuôn.
BR21.042,2021-06-22,BR,9 bộ khuôn.
BR21.043,2021-06-24,BR,3 bộ khuôn.
BR21.044,2021-06-27,BR,5 Bộ Khuôn.
BR21.045,2021-07-01,BR,9 bộ khuôn.
BR21.046,2021-07-03,BR,2 bộ khuôn.
BR21.047,2021-07-09,BR,1 bộ.
BR21.048,2021-07-16,BR,2 bộ khuôn-2 đệm CD
BR21.049,2021-07-20,BR,6 bộ khuôn.(Trường Km nhận)
BR21.050,2021-07-23,BR,15 bộ khuôn.
BR21.051,2021-07-28,BR,4 bộ khuôn + 01 mảnh F5016A.
BR21.052,2021-07-31,BR,13 Bộ.
BR21.053,2021-08-03,BR,5 bộ khuôn.
BR21.054,2021-08-05,BR,3 bộ khuôn + 704E-508(BH)
BR21.055,2021-08-07,BR,6 bộ khuôn.
BR21.056,2021-08-15,BR,7 bộ km + 01 BG CGA14 + 01 Đệm CD + 01 Khuôn sửa DA55D-1.
BR21.057,2021-08-17,BR,6 bộ.
BR21.058,2021-08-21,BR,10 bộ.
BR21.059,2021-09-01,BR,6 bộ khuôn.
BR21.060,2021-09-12,BR,2 bộ-Giấy Hùng Km giữ.
BR21.061,2021-09-15,BR,4 bộ.
BR21.062,2021-09-22,BR,4 bộ khuôn.
BR21.063,2021-09-26,BR,5 bộ (Thắng R báo)
BR21.064,2021-09-27,BR,Đầu trục ép.
BR21.065,2021-10-01,BR,17 bộ.
BR21.066,2021-10-06,BR,Thùng 1250T + SCV01-2.
BR21.067,2021-10-08,BR,12 bộ khuôn.
BR21.068,2021-10-13,BR,10 bộ
BR21.069,2021-10-17,BR,6 bộ
BR21.070,2021-10-20,BR,3 bộ-Chưa có giấy.
BR21.071,2021-10-21,BR,8 bộ.
BR21.072,2021-10-23,BR,8 bộ
BR21.073,2021-10-26,BR,
BR21.074,2021-10-30,BR,
BR21.075,2021-11-06,BR,1 bộ
BR21.076,2021-11-13,BR,"Vào thứ 7-nghỉ, ko đo dc độ cứng."
BR21.077,2021-11-20,BR,
BR21.078,2021-11-24,BR,
BR21.079,2021-11-30,BR,Về chiều tối 29/11/21.Khuôn đã mang nitơ-Chưa kt độ cứng (9h00-30/11/21)
BR21.080,2021-12-04,BR,
BR21.081,2021-12-11,BR,"01 bộ khuôn mới-Trả DQA009N-5(đổi cái mới)+Trả 2 cái DQA009N cũ-sai kích thước. Trả 02 bộ VIC55101B-(8,9)"
BR21.082,2021-12-18,BR,
BR21.083,2021-12-24,BR,2 BỘ KHUÔN MỚI + KHUÔN SỬA CGA03E-3
BR21.084,2021-12-28,BR,10 bộ khuôn +03 khuôn CAS sửa.
BR21.085,2021-12-31,BR,
BR22,2017-05-22,BR,
BR22.001,2022-01-08,BR,
BR22.002,2022-01-11,BR,
BR22.003,2022-01-18,BR,
BR22.004,2022-01-21,BR,
BR22.005,2022-01-25,BR,
BR22.006,2022-02-12,BR,
BR22.007,2022-02-15,BR,
BR22.008,2022-02-19,BR,
BR22.009,2022-02-23,BR,
BR22.010,2022-03-02,BR,Thắng Ruồi mang về.
BR22.011,2022-03-05,BR,
BR22.012,2022-03-10,BR,
BR22.013,2022-03-14,BR,
BR22.014,2022-03-18,BR,
BR22.015,2022-03-21,BR,
BR22.016,2022-03-25,BR,
BR22.017,2022-03-30,BR,
BR22.018,2022-04-08,BR,
BR22.019,2022-04-15,BR,
BR22.020,2022-05-10,BR,
BR22.021,2022-05-29,BR,
BR22.022,2022-06-04,BR,
BR22.023,2022-06-21,BR,
BR22.025,2022-07-06,BR,
BR22.026,2022-09-09,BR,
BR22.028,2022-10-14,BR,3 bộ khuôn
BR22.029,2022-10-15,BR,7 BỘ
BR22.030,2022-11-02,BR,
BR22.031,2022-11-17,BR,2 BỘ KHUÔN
BR22.032,2022-11-25,BR,14 bo khuon
BR22.033,2022-11-28,BR,
BR22.034,2022-12-02,BR,
BR22.035,2022-12-17,BR,NHAN 3 BO KHuon
BR22.036,2022-12-22,BR,nhận 3 bộ khuôn
BR22.037,2022-12-26,BR,
BR23,2017-05-26,BR,
BR23.001,2023-01-03,BR,5 bộ khuôn mơi và 1 khuôn sửa
BR23.002,2023-01-10,BR,nhận 6 bộ khuôn
BR23.003,2023-01-11,BR,NHẬN 2 BỘ KHUÔN MỚI VÀ 1 BỘ ae035 SỬA
BR23.004,2023-01-14,BR,nhận 1 bộ khuôn APVS10M-2( khuon cũ bị vỡ làm lại 1 mảnh
BR23.005,2023-01-31,BR,nhận 9 bộ khuôn
BR23.006,2023-02-06,BR,nhận 5 bộ khuôn mới và 1 bộ sửa
BR23.007,2023-02-09,BR,nhận 7 bộ khuôn
BR23.008,2023-02-27,BR,nhận 6 bộ mới và 1 bộ sửa
BR23.009,2023-03-03,BR,nhận 6 bộ khuôn
BR23.010,2023-03-09,BR,nhận 1 bộ khuôn mới
BR23.011,2023-03-24,BR,NHẬN 8 BỘ KHUÔN
BR23.012,2023-04-05,BR,
BR23.013,2023-04-10,BR,
BR23.014,2023-04-26,BR,
BR24,,BR,
BR25,2017-06-06,BR,
BR26,2017-06-24,BR,
BR27,,BR,
BR28,2017-07-07,BR,
BR29,2017-07-11,BR,
BR30,,BR,
BR31,,BR,
BR32,2017-08-06,BR,
BR33,,BR,
BR34,2017-08-17,BR,
BR35,2017-08-22,BR,
BR36,,BR,
BR37,,BR,
BR38,2017-09-30,BR,
BR39,2017-10-24,BR,
BR40,,BR,
BR41,2017-11-12,BR,
BR42,2017-11-14,BR,
BR43,,BR,
BR44,2017-12-01,BR,
BR45,2017-12-15,BR,
BR46,2017-12-23,BR,
BR47,2018-01-04,BR,
br48,2018-01-21,br,
BR49,2018-01-29,BR,
BR50,2018-02-03,BR,
BR51,2018-02-08,BR,
BR52,2018-03-09,BR,
BR53,2018-04-04,BR,
BR54,,BR,
BR55,2018-04-13,BR,
BR56,2018-04-24,BR,
BR57,2018-05-10,BR,
BR58,2018-05-24,BR,
BR59,2018-06-10,BR,
BR60,2018-06-20,BR,
BR61,,BR,
BR62,,BR,
BR63,,BR,
BR65,2018-08-09,BR,
BR67,2018-08-16,BR,
BR68,2018-08-27,BR,
BR69,2018-09-06,BR,
BR70,2018-09-09,BR,
BR71,2018-09-15,BR,
BR72,2018-09-19,BR,
BR73,2018-09-29,BR,
BR74,2018-10-05,BR,
BR75,2018-10-08,BR,
BR76,2018-10-24,BR,
BR77,2018-11-20,BR,
BR78,2018-11-23,BR,
BR79,2018-12-25,BR,
BR80,2019-01-18,BR,
BR81,2019-03-06,BR,
BR82,2019-03-19,BR,
BR83,2019-03-21,BR,
BR84,2019-04-02,BR,
BR85,2019-04-07,BR,
BR86,,BR,
BR87,2019-04-16,BR,
BR88,2019-04-17,BR,
BR89,2019-04-21,BR,
BR90,2019-05-13,BR,
BR91,2019-05-16,BR,
BR92,2019-05-26,BR,
BR93,2019-06-20,BR,
BR94,2019-07-05,BR,
BR95,2019-07-26,BR,
BR96,2019-08-13,BR,ngày 19/8/19 Thắng mới đưa BB
BR97,2019-08-19,BR,5 bộ + 1 đệm 638
BR98,2019-09-03,BR,BB 14h30 3/9/19 -Thắng đã nhận (ký 6/9/19)
BR99,2019-09-19,BR,Thắng đưa ký: 20/9/19; không có VIC55201A-32-11
CA22.001,2022-06-17,CA,Khuôn gửi
CA22.002,,,
CA22.003,2022-10-17,ca,KHÁCH GỬI 2 BỘ KHUÔN
CB15,2015-02-28,CB,Vào những khuôn chưa biết
CB16,2016-08-06,CB,vao nhung khuon chua biet dot tu thang 8/16
CB17,2017-02-25,CB,vao nhung khuon 2017
CB18,2018-01-03,CB,
CB19,2019-01-01,CB,Vao tam nhung khuon chua biet dot nam 2019
CB22.001,,CB,vào tạm nhưng khuôn chưa biết
CM21.001,2021-06-10,CM,
CM21.002,2021-06-14,CM,4 bộ khuôn.
CM21.003,2021-06-16,,1 bộ khuôn.
CM21.004,2021-07-09,CM,10 bộ khuôn-Trường Km nhận kê (ko có giấy tờ)
CM21.005,2021-07-13,CM,1 bộ + 1 bộ DQ1542-1(khuôn sửa - Trả).(chưa có giấy)
CM21.006,2021-07-15,CM,02 bộ khuôn-Ko giấy giao.
CM21.007,2021-07-19,CM,2 bộ khuôn mới -01 bộ TH31-C2
CM21.008,2021-07-31,CM,3 phiếu: (087-087) - 5 bộ khuôn + 090-Khuôn bù DQ1542-1; 087-Khuôn gửi:(P111-1) của An phú.
CM21.009,2021-08-06,CM,02 bộ khuôn mới.
CM21.010,2021-08-20,CM,2 bộ+ 01 đệm CD.
CM21.011,2021-08-22,CM,9 bộ.
CM21.012,2021-08-26,CM,8 bộ.
CM21.013,2021-08-30,CM,6 bộ khuôn + 01 đệm.
CM21.014,2021-09-01,CM,7 bộ khuôn - Thắng KD gửi - Km chưa xác nhận.
CM21.015,2021-09-09,CM,8 bộ khuôn.
CM21.016,2021-09-15,CM,3 bộ khuôn.
CM21.017,2021-09-26,CM,"1 bộ khuôn + 2 đệm ép 6"" + 01 Áo khuôn 800 (sửa) + Đệm khuôn 1350(sửa)."
CM21.018,2021-09-27,CM,1 bộ khuôn.
CM21.019,2021-09-30,CM,6 bộ.
CM21.020,2021-10-08,CM,11 bộ khuôn
CM21.021,2021-10-15,CM,7 bộ.
CM21.022,2021-10-19,CM,2 bộ.
CM21.023,2021-10-26,CM,
CM21.024,2021-10-28,CM,9 bộ khuôn mới + TH31-14 sửa
CM21.025,2021-11-08,CM,9 bộ khuôn.
CM21.026,2021-11-13,CM,
CM21.027,2021-11-20,CM,
CM21.028,2021-11-26,CM,
CM21.029,2021-12-04,CM,
CM21.030,2021-12-10,CM,
CM21.031,2021-12-14,CM,3 bộ
CM21.032,2021-12-31,CM,
CM22.001,2022-01-07,CM,
CM22.002,2022-01-14,CM,
CM22.003,2022-01-22,CM,1 bộ + 1 trả bộ IMER162-1
CM22.004,2022-02-14,CM,TGĐ Phước mang lên.
CM22.005,2022-02-23,CM,
CM22.006,2022-02-28,CM,
CM22.007,2022-03-05,CM,
CM22.008,2022-03-08,CM,
CM22.009,2022-03-12,CM,
CM22.010,2022-03-16,CM,
CM22.011,2022-03-17,CM,"7 bộ mới +3 bộ sửa: 55101B-(10,11), ONEN03-2"
CM22.012,2022-03-21,CM,
CM22.013,2022-04-09,CM,
CM22.014,2022-04-17,CM,
CM22.015,2022-04-26,CM,
CM22.016,2022-05-07,CM,
CM22.017,2022-05-15,CM,
CM22.018,2022-05-18,CM,
CM22.019,2022-05-25,CM,
CM22.020,2022-06-02,CM,
CM22.021,2022-06-05,CM,
CM22.022,2022-06-10,CM,
CM22.023,2022-06-14,CM,
CM22.024,2022-06-17,CM,
CM22.025,2022-06-24,CM,
CM22.026,2022-07-06,CM,
CM22.027,2022-07-18,CM,
CM22.028,2022-07-19,CM,
CM22.029,2022-07-22,CM,
CM22.030,2022-07-26,CM,
CM22.031,2022-07-29,CM,
CM22.032,2022-07-29,CM,2 bộ.
CM22.033,2022-08-06,CM,19 bộ-1 đệm TLG2202 (APU06)
CM22.034,2022-08-13,CM,3 bộ mới + phiếu SCLMK01-1 -bảo hành
CM22.035,2022-08-18,CM,
CM22.036,2022-08-27,CM,
CM22.037,2022-09-06,CM,NHẬN 4 BỘ KHUÔN
CM22.038,2022-09-09,CM,
CM22.039,2022-09-17,CM,NHẬN 1 BỘ KHUÔN
CM22.040,2022-09-29,CM,
CM22.041,2022-09-30,CM,NHAN 1 BO KHUON
CM22.042,2022-10-11,CM,9 BỘ
CM22.043,2022-10-12,CM,4 BỘ
CM22.044,2022-11-02,CM,
CM22.045,2022-11-04,CM,
CM22.046,2022-11-05,CM,
CM22.047,2022-11-12,CM,
CM22.048,2022-11-16,CM,gui 1 bo THPK06
CM22.049,2022-12-10,CM,
CM22.050,2022-12-16,CM,Nhận mới 5 bộ khuôn và 2 bộ sửa
CM22.051,2022-12-22,CM,NHẬN 3 BỘ KHUÔN
CM22.052,2022-12-17,CM,01 bo khuon
CM22.053,2022-12-30,CM,
CM22.054,2022-08-31,LT,
CM23.001,2023-02-11,CM,nhận 6 bộ
